k,silhouette_score
2,0.3844916465694158
3,0.30376441425509715
4,0.3180020674736362
5,0.33034734351093525
6,0.33206382902236814
7,0.32322073811777485
8,0.30753828438115444
9,0.3431083613578322
10,0.32679977945167216
