Segmento,Moneda,Posición,Cliente,Facturación
Menor actividad y alta conversión,S/.,14,SATELLITAL PATROL SAC,84500.0
Menor actividad y alta conversión,S/.,15,PILECO S.A.C.,80300.0
Menor actividad y alta conversión,S/.,16,VPTM Iquitos S.A.C.,73515.0
Menor actividad y alta conversión,S/.,17,ALD AUTOMOTIVE PERU S.A. - ALD PERU S.A.,71875.0
Menor actividad y alta conversión,S/.,18,GRUPO ELITES DEL NORTE S.A.C.,55932.25
Menor actividad y alta conversión,S/.,19,MARIO CESAR DA COSTA MANZUR EIRL.,50578.25
Menor actividad y alta conversión,S/.,20,JRC Ingenieria y Construccion S.A.C.,50000.0
Menor actividad y alta conversión,S/.,21,LLAXTA SAC,48077.89
Menor actividad y alta conversión,S/.,22,GALIGRU PERU S.A.C.,46020.0
Menor actividad y alta conversión,S/.,23,R. STIGLICH S.A.,44240.0
Menor actividad y alta conversión,S/.,24,LOGISTICA INTEGRAL SERVICIOS GENERALES EIRL,43155.0
Menor actividad y alta conversión,S/.,25,GISER CORP S.A.C.,40616.0
Menor actividad y alta conversión,US$,1,TERMINALES PORTUARIOS PERUANOS SAC,115200.0
Menor actividad y alta conversión,US$,2,CONSULTORES Y AUDITORES MRK S.A.,84244.0
Menor actividad y alta conversión,US$,3,GYM OPERACIONES INTERNACIONALES SOCIEDAD ANONIMA CERRADA,79283.08
Menor actividad y alta conversión,US$,4,BPZ EXPLORACION & PRODUCCIÓN S.R.L,50400.0
Menor actividad y alta conversión,US$,5,OCEANO AGENCIA MARITIMA S.A.,45372.4
Menor actividad y alta conversión,US$,6,REPRESENTACIONES NAVIERAS Y ADUANERAS S.A.C. - RENADSA S.A.C. -,42000.0
Menor actividad y alta conversión,US$,7,CONSORCIO TERMINALES,39968.619999999995
Menor actividad y alta conversión,US$,8,AURAMINERALS,31555.5
Menor actividad y alta conversión,US$,9,ANGLO AMERICAN QUELLAVECO S.A.,11934.38
Menor actividad y alta conversión,US$,10,SOCIEDAD MINERA EL BROCAL,10200.0
