Moneda,Modelo,Registros,Muestra_prueba,MAE_prueba,RMSE_prueba,R2_prueba
S/.,Random Forest pre-OI,11288,2258,3170.734102879774,30920.272607023697,0.7505299605597155
US$,Random Forest pre-OI,650,130,3681.616594804453,16881.538558772252,0.567004706765849
