Segmento,Clientes,% clientes,% operaciones,% facturación S/.,% facturación US$,Operaciones por cliente (mediana),Servicios distintos (mediana),Participantes (mediana),Conversión HP→OI (mediana %),Duración (mediana),Facturación S/. por cliente (mediana),Facturación US$ por cliente (mediana)
Menor actividad y alta conversión,974,73.7878787878788,16.774312603801437,7.551084816360467,8.741083443834203,2.0,2.0,3.0,100.0,15.0,3630.5950000000003,0.0
Alto valor y alta actividad,346,26.212121212121215,83.22568739619855,92.44891518363954,91.25891655616579,13.0,10.0,87.0,63.63636363636363,15.0,43776.0,0.0
